"forename","surname","driver_name","race_year","total_races","points_this_season","wins_this_season","winning_percentage","average_points_per_race","points_all_time","winning_percentage_all_time","average_points_per_race_all_time","championships","wins_all_time"
Ayrton,Senna,Ayrton Senna,"1987",16,95,2,12.5,5.94,869,25.31,5.36,3,41
Alain,Prost,Alain Prost,"1987",16,78,3,18.75,4.88,1156,25.25,5.72,4,51
Alain,Prost,Alain Prost,"1986",16,110,4,25.0,6.88,1156,25.25,5.72,4,51
Ayrton,Senna,Ayrton Senna,"1986",16,85,2,12.5,5.31,869,25.31,5.36,3,41
Alain,Prost,Alain Prost,"1985",16,107,5,31.25,6.69,1156,25.25,5.72,4,51
Ayrton,Senna,Ayrton Senna,"1985",16,59,2,12.5,3.69,869,25.31,5.36,3,41
Alain,Prost,Alain Prost,"1984",16,98,7,43.75,6.13,1156,25.25,5.72,4,51
Ayrton,Senna,Ayrton Senna,"1984",15,39,0,0.0,2.6,869,25.31,5.36,3,41
Alain,Prost,Alain Prost,"1983",15,86,4,26.67,5.73,1156,25.25,5.72,4,51
Alain,Prost,Alain Prost,"1982",16,57,2,12.5,3.56,1156,25.25,5.72,4,51
Alain,Prost,Alain Prost,"1981",15,56,3,20.0,3.73,1156,25.25,5.72,4,51
Alain,Prost,Alain Prost,"1980",13,29,0,0.0,2.23,1156,25.25,5.72,4,51
Denny,Hulme,Denny Hulme,"1974",15,50,1,6.67,3.33,497,7.14,4.44,1,8
Jackie,Stewart,Jackie Stewart,"1973",15,103,5,33.33,6.87,507,27.0,5.07,3,27
Denny,Hulme,Denny Hulme,"1973",15,65,1,6.67,4.33,497,7.14,4.44,1,8
Denny,Hulme,Denny Hulme,"1972",12,70,1,8.33,5.83,497,7.14,4.44,1,8
Jackie,Stewart,Jackie Stewart,"1972",11,60,4,36.36,5.45,507,27.0,5.07,3,27
Jackie,Stewart,Jackie Stewart,"1971",11,75,6,54.55,6.82,507,27.0,5.07,3,27
Denny,Hulme,Denny Hulme,"1971",10,25,0,0.0,2.5,497,7.14,4.44,1,8
Denny,Hulme,Denny Hulme,"1970",11,58,0,0.0,5.27,497,7.14,4.44,1,8
Jackie,Stewart,Jackie Stewart,"1970",13,38,1,7.69,2.92,507,27.0,5.07,3,27
Jackie,Stewart,Jackie Stewart,"1969",11,76,6,54.55,6.91,507,27.0,5.07,3,27
Denny,Hulme,Denny Hulme,"1969",11,44,1,9.09,4.0,497,7.14,4.44,1,8
Jim,Clark,Jim Clark,"1968",1,10,1,100.0,10.0,373,34.25,5.11,2,25
Jackie,Stewart,Jackie Stewart,"1968",10,59,3,30.0,5.9,507,27.0,5.07,3,27
Denny,Hulme,Denny Hulme,"1968",12,58,2,16.67,4.83,497,7.14,4.44,1,8
Denny,Hulme,Denny Hulme,"1967",11,78,2,18.18,7.09,497,7.14,4.44,1,8
Jim,Clark,Jim Clark,"1967",11,53,4,36.36,4.82,373,34.25,5.11,2,25
Jackie,Stewart,Jackie Stewart,"1967",11,17,0,0.0,1.55,507,27.0,5.07,3,27
Richie,Ginther,Richie Ginther,"1967",1,0,0,0.0,0.0,232,1.85,4.3,0,1
Denny,Hulme,Denny Hulme,"1966",9,33,0,0.0,3.67,497,7.14,4.44,1,8
Jim,Clark,Jim Clark,"1966",8,25,1,12.5,3.13,373,34.25,5.11,2,25
Jackie,Stewart,Jackie Stewart,"1966",8,23,1,12.5,2.88,507,27.0,5.07,3,27
Richie,Ginther,Richie Ginther,"1966",5,13,0,0.0,2.6,232,1.85,4.3,0,1
Jim,Clark,Jim Clark,"1965",9,61,6,66.67,6.78,373,34.25,5.11,2,25
Jackie,Stewart,Jackie Stewart,"1965",10,56,1,10.0,5.6,507,27.0,5.07,3,27
Richie,Ginther,Richie Ginther,"1965",8,24,1,12.5,3.0,232,1.85,4.3,0,1
Denny,Hulme,Denny Hulme,"1965",6,16,0,0.0,2.67,497,7.14,4.44,1,8
Richie,Ginther,Richie Ginther,"1964",10,55,0,0.0,5.5,232,1.85,4.3,0,1
Jim,Clark,Jim Clark,"1964",11,47,3,27.27,4.27,373,34.25,5.11,2,25
Jim,Clark,Jim Clark,"1963",10,90,7,70.0,9.0,373,34.25,5.11,2,25
Richie,Ginther,Richie Ginther,"1963",10,63,0,0.0,6.3,232,1.85,4.3,0,1
Jim,Clark,Jim Clark,"1962",9,39,3,33.33,4.33,373,34.25,5.11,2,25
Richie,Ginther,Richie Ginther,"1962",9,24,0,0.0,2.67,232,1.85,4.3,0,1
Richie,Ginther,Richie Ginther,"1961",7,34,0,0.0,4.86,232,1.85,4.3,0,1
Jim,Clark,Jim Clark,"1961",8,28,0,0.0,3.5,373,34.25,5.11,2,25
Richie,Ginther,Richie Ginther,"1960",4,19,0,0.0,4.75,232,1.85,4.3,0,1
Jim,Clark,Jim Clark,"1960",6,20,0,0.0,3.33,373,34.25,5.11,2,25
Juan,Fangio,Juan Fangio,"1958",2,14,0,0.0,7.0,385,41.38,6.64,0,24
Mike,Hawthorn,Mike Hawthorn,"1958",10,69,1,10.0,6.9,241,6.25,5.02,1,3
Juan,Fangio,Juan Fangio,"1957",7,58,4,57.14,8.29,385,41.38,6.64,0,24
Mike,Hawthorn,Mike Hawthorn,"1957",7,29,0,0.0,4.14,241,6.25,5.02,1,3
Juan,Fangio,Juan Fangio,"1956",10,65,3,30.0,6.5,385,41.38,6.64,0,24
Mike,Hawthorn,Mike Hawthorn,"1956",4,9,0,0.0,2.25,241,6.25,5.02,1,3
Juan,Fangio,Juan Fangio,"1955",6,49,4,66.67,8.17,385,41.38,6.64,0,24
Mike,Hawthorn,Mike Hawthorn,"1955",5,10,0,0.0,2.0,241,6.25,5.02,1,3
Juan,Fangio,Juan Fangio,"1954",8,75,6,75.0,9.38,385,41.38,6.64,0,24
Mike,Hawthorn,Mike Hawthorn,"1954",9,44,1,11.11,4.89,241,6.25,5.02,1,3
Mike,Hawthorn,Mike Hawthorn,"1953",8,58,1,12.5,7.25,241,6.25,5.02,1,3
Juan,Fangio,Juan Fangio,"1953",10,44,1,10.0,4.4,385,41.38,6.64,0,24
Mike,Hawthorn,Mike Hawthorn,"1952",5,22,0,0.0,4.4,241,6.25,5.02,1,3
Juan,Fangio,Juan Fangio,"1951",8,50,3,37.5,6.25,385,41.38,6.64,0,24
Juan,Fangio,Juan Fangio,"1950",7,30,3,42.86,4.29,385,41.38,6.64,0,24
